2025-11-11 11:44:41,422 - MainThread - INFO - ✓ GPU memory growth enabled for 1 device(s)
2025-11-11 11:44:41,422 - MainThread - INFO - 
=== Experiment 1/1: 200_2 ===
2025-11-11 11:44:41,599 - MainThread - INFO - Loaded data shape: X=(9799368, 4), y=(9799368, 1)
2025-11-11 11:49:05,319 - MainThread - INFO - Adjusting weights at epoch 100: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:49:05,551 - MainThread - INFO - Adjusting weights at epoch 100: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:49:05,784 - MainThread - INFO - Adjusting weights at epoch 100: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:49:06,010 - MainThread - INFO - Adjusting weights at epoch 100: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:49:29,285 - MainThread - INFO - [200_2] Epoch 110/200 | Avg Loss: 5.5926e+00 (Data=4.743e-01, PDE=9.754e+14, BC=1.956e+05, IC=6.067e+02)
2025-11-11 11:49:29,405 - MainThread - INFO - Adjusting weights at epoch 110: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:49:29,637 - MainThread - INFO - Adjusting weights at epoch 110: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:49:29,869 - MainThread - INFO - Adjusting weights at epoch 110: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:49:31,494 - MainThread - INFO - Adjusting weights at epoch 110: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:49:31,720 - MainThread - INFO - Adjusting weights at epoch 110: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:49:55,304 - MainThread - INFO - [200_2] Epoch 120/200 | Avg Loss: 5.5848e+00 (Data=5.671e-01, PDE=1.131e+15, BC=1.926e+05, IC=5.994e+02)
2025-11-11 11:49:56,591 - MainThread - INFO - Adjusting weights at epoch 120: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:49:56,826 - MainThread - INFO - Adjusting weights at epoch 120: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:49:57,060 - MainThread - INFO - Adjusting weights at epoch 120: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:49:57,294 - MainThread - INFO - Adjusting weights at epoch 120: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:49:57,529 - MainThread - INFO - Adjusting weights at epoch 120: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:49:57,755 - MainThread - INFO - Adjusting weights at epoch 120: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:50:21,148 - MainThread - INFO - [200_2] Epoch 130/200 | Avg Loss: 4.0556e+00 (Data=4.949e-01, PDE=1.161e+15, BC=1.943e+05, IC=6.056e+02)
2025-11-11 11:50:21,501 - MainThread - INFO - Adjusting weights at epoch 130: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:50:21,734 - MainThread - INFO - Adjusting weights at epoch 130: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:50:21,966 - MainThread - INFO - Adjusting weights at epoch 130: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:50:22,199 - MainThread - INFO - Adjusting weights at epoch 130: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:50:22,432 - MainThread - INFO - Adjusting weights at epoch 130: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:50:23,586 - MainThread - INFO - Adjusting weights at epoch 130: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:50:47,153 - MainThread - INFO - [200_2] Epoch 140/200 | Avg Loss: 3.5395e+00 (Data=4.822e-01, PDE=1.226e+15, BC=1.944e+05, IC=6.036e+02)
2025-11-11 11:50:47,274 - MainThread - INFO - Adjusting weights at epoch 140: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:50:47,506 - MainThread - INFO - Adjusting weights at epoch 140: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:50:48,668 - MainThread - INFO - Adjusting weights at epoch 140: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:50:48,900 - MainThread - INFO - Adjusting weights at epoch 140: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:50:49,133 - MainThread - INFO - Adjusting weights at epoch 140: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:50:49,365 - MainThread - INFO - Adjusting weights at epoch 140: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:50:49,591 - MainThread - INFO - Adjusting weights at epoch 140: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:51:12,961 - MainThread - INFO - [200_2] Epoch 150/200 | Avg Loss: 3.0533e+00 (Data=4.599e-01, PDE=1.283e+15, BC=1.949e+05, IC=6.038e+02)
2025-11-11 11:51:13,082 - MainThread - INFO - Adjusting weights at epoch 150: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:51:13,316 - MainThread - INFO - Adjusting weights at epoch 150: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:51:13,549 - MainThread - INFO - Adjusting weights at epoch 150: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:51:13,783 - MainThread - INFO - Adjusting weights at epoch 150: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:51:14,017 - MainThread - INFO - Adjusting weights at epoch 150: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:51:14,248 - MainThread - INFO - Adjusting weights at epoch 150: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:51:14,482 - MainThread - INFO - Adjusting weights at epoch 150: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:51:14,715 - MainThread - INFO - Adjusting weights at epoch 150: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:51:14,948 - MainThread - INFO - Adjusting weights at epoch 150: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:51:15,180 - MainThread - INFO - Adjusting weights at epoch 150: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:51:38,777 - MainThread - INFO - [200_2] Epoch 160/200 | Avg Loss: 5.0805e+00 (Data=4.188e-01, PDE=1.072e+15, BC=1.961e+05, IC=6.084e+02)
2025-11-11 11:51:38,901 - MainThread - INFO - Adjusting weights at epoch 160: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:51:39,135 - MainThread - INFO - Adjusting weights at epoch 160: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:51:39,370 - MainThread - INFO - Adjusting weights at epoch 160: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:51:39,602 - MainThread - INFO - Adjusting weights at epoch 160: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:51:39,835 - MainThread - INFO - Adjusting weights at epoch 160: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
